_id,name,email,password,phone,role,profile_image,address,created_at,updated_at,__v
"""6a7099a40770fd734ecafb40""","System Administrator","admin@bookadoctor.com","$2a$10$4pd4QhMkFjwMdK8KpIcZVunVJbZ8LuGRshpNKuPSowIrLxwaVRT.i","+91-9876543210","admin","","Health HQ, Chennai, Tamil Nadu","""2026-08-03T13:37:40.845Z""","""2026-08-03T13:37:40.845Z""","0"
"""6a7099a40770fd734ecafb41""","John Doe","patient@example.com","$2a$10$0NEs5vW4iAeqHjkrHds04ucJKZ7j25djuG5.FfZ.LNuern5mpQayq","+91-9876543211","patient","","12 Anna Salai, Chennai, Tamil Nadu","""2026-08-03T13:37:40.849Z""","""2026-08-03T13:37:40.849Z""","0"
"""6a7099a40770fd734ecafb43""","Dr. Suresh Subramanian","suresh.subramanian1@bookadoctor.in","$2a$10$0NEs5vW4iAeqHjkrHds04ucJKZ7j25djuG5.FfZ.LNuern5mpQayq","+91-984000001","doctor","https://images.unsplash.com/photo-1537368910025-700350fe46c7?auto=format&fit=crop&q=80&w=400","Government Head Quarters Hospital, Ariyalur, Ariyalur, Tamil Nadu","""2026-08-03T13:37:40.855Z""","""2026-08-03T13:37:40.855Z""","0"
"""6a7099a40770fd734ecafb4b""","Dr. Lakshmi Natarajan","lakshmi.natarajan2@bookadoctor.in","$2a$10$0NEs5vW4iAeqHjkrHds04ucJKZ7j25djuG5.FfZ.LNuern5mpQayq","+91-984000002","doctor","https://images.unsplash.com/photo-1651008376811-b90baee60c1f?auto=format&fit=crop&q=80&w=400","Government Head Quarters Hospital, Ariyalur, Ariyalur, Tamil Nadu","""2026-08-03T13:37:40.878Z""","""2026-08-03T13:37:40.878Z""","0"
"""6a7099a40770fd734ecafb53""","Dr. Venkatesh Krishnan","venkatesh.krishnan3@bookadoctor.in","$2a$10$0NEs5vW4iAeqHjkrHds04ucJKZ7j25djuG5.FfZ.LNuern5mpQayq","+91-984000003","doctor","https://images.unsplash.com/photo-1582750433449-648ed127bb54?auto=format&fit=crop&q=80&w=400","Government Head Quarters Hospital, Ariyalur, Ariyalur, Tamil Nadu","""2026-08-03T13:37:40.897Z""","""2026-08-03T13:37:40.897Z""","0"
"""6a7099a40770fd734ecafb5b""","Dr. Meena Murugan","meena.murugan4@bookadoctor.in","$2a$10$0NEs5vW4iAeqHjkrHds04ucJKZ7j25djuG5.FfZ.LNuern5mpQayq","+91-984000004","doctor","https://images.unsplash.com/photo-1559839734-2b71ea197ec2?auto=format&fit=crop&q=80&w=400","Chengalpattu Medical College & Hospital, Chengalpattu, Tamil Nadu","""2026-08-03T13:37:40.914Z""","""2026-08-03T13:37:40.914Z""","0"
"""6a7099a40770fd734ecafb63""","Dr. Rajesh Iyengar","rajesh.iyengar5@bookadoctor.in","$2a$10$0NEs5vW4iAeqHjkrHds04ucJKZ7j25djuG5.FfZ.LNuern5mpQayq","+91-984000005","doctor","https://images.unsplash.com/photo-1622253692010-333f2da6031d?auto=format&fit=crop&q=80&w=400","Chengalpattu Medical College & Hospital, Chengalpattu, Tamil Nadu","""2026-08-03T13:37:40.933Z""","""2026-08-03T13:37:40.933Z""","0"
"""6a7099a40770fd734ecafb6b""","Dr. Radha Balasubramanian","radha.balasubramanian6@bookadoctor.in","$2a$10$0NEs5vW4iAeqHjkrHds04ucJKZ7j25djuG5.FfZ.LNuern5mpQayq","+91-984000006","doctor","https://images.unsplash.com/photo-1651008376811-b90baee60c1f?auto=format&fit=crop&q=80&w=400","Apollo Hospitals, Greams Road, Chennai, Chennai, Tamil Nadu","""2026-08-03T13:37:40.949Z""","""2026-08-03T13:37:40.949Z""","0"
"""6a7099a40770fd734ecafb73""","Dr. Vijay Chettiar","vijay.chettiar7@bookadoctor.in","$2a$10$0NEs5vW4iAeqHjkrHds04ucJKZ7j25djuG5.FfZ.LNuern5mpQayq","+91-984000007","doctor","https://images.unsplash.com/photo-1612349317150-e413f6a5b16d?auto=format&fit=crop&q=80&w=400","Apollo Hospitals, Greams Road, Chennai, Chennai, Tamil Nadu","""2026-08-03T13:37:40.963Z""","""2026-08-03T13:37:40.963Z""","0"
"""6a7099a40770fd734ecafb7b""","Dr. Sangeetha Pillai","sangeetha.pillai8@bookadoctor.in","$2a$10$0NEs5vW4iAeqHjkrHds04ucJKZ7j25djuG5.FfZ.LNuern5mpQayq","+91-984000008","doctor","https://images.unsplash.com/photo-1559839734-2b71ea197ec2?auto=format&fit=crop&q=80&w=400","Ganga Medical Centre & Hospitals, Coimbatore, Coimbatore, Tamil Nadu","""2026-08-03T13:37:40.977Z""","""2026-08-03T13:37:40.977Z""","0"
"""6a7099a40770fd734ecafb83""","Dr. Prakash Ganesan","prakash.ganesan9@bookadoctor.in","$2a$10$0NEs5vW4iAeqHjkrHds04ucJKZ7j25djuG5.FfZ.LNuern5mpQayq","+91-984000009","doctor","https://images.unsplash.com/photo-1576091160399-112ba8d25d1d?auto=format&fit=crop&q=80&w=400","Ganga Medical Centre & Hospitals, Coimbatore, Coimbatore, Tamil Nadu","""2026-08-03T13:37:40.991Z""","""2026-08-03T13:37:40.991Z""","0"
"""6a7099a50770fd734ecafb8b""","Dr. Aarthi Srinivasan","aarthi.srinivasan10@bookadoctor.in","$2a$10$0NEs5vW4iAeqHjkrHds04ucJKZ7j25djuG5.FfZ.LNuern5mpQayq","+91-984000010","doctor","https://images.unsplash.com/photo-1651008376811-b90baee60c1f?auto=format&fit=crop&q=80&w=400","Ganga Medical Centre & Hospitals, Coimbatore, Coimbatore, Tamil Nadu","""2026-08-03T13:37:41.005Z""","""2026-08-03T13:37:41.005Z""","0"
"""6a7099a50770fd734ecafb93""","Dr. Sanjay Raghavan","sanjay.raghavan11@bookadoctor.in","$2a$10$0NEs5vW4iAeqHjkrHds04ucJKZ7j25djuG5.FfZ.LNuern5mpQayq","+91-984000011","doctor","https://images.unsplash.com/photo-1537368910025-700350fe46c7?auto=format&fit=crop&q=80&w=400","Rajah Muthiah Medical College & Hospital, Cuddalore, Cuddalore, Tamil Nadu","""2026-08-03T13:37:41.021Z""","""2026-08-03T13:37:41.021Z""","0"
"""6a7099a50770fd734ecafb9b""","Dr. Nithya Sundaram","nithya.sundaram12@bookadoctor.in","$2a$10$0NEs5vW4iAeqHjkrHds04ucJKZ7j25djuG5.FfZ.LNuern5mpQayq","+91-984000012","doctor","https://images.unsplash.com/photo-1559839734-2b71ea197ec2?auto=format&fit=crop&q=80&w=400","Rajah Muthiah Medical College & Hospital, Cuddalore, Cuddalore, Tamil Nadu","""2026-08-03T13:37:41.035Z""","""2026-08-03T13:37:41.035Z""","0"
"""6a7099a50770fd734ecafba3""","Dr. Manoj Ramanathan","manoj.ramanathan13@bookadoctor.in","$2a$10$0NEs5vW4iAeqHjkrHds04ucJKZ7j25djuG5.FfZ.LNuern5mpQayq","+91-984000013","doctor","https://images.unsplash.com/photo-1582750433449-648ed127bb54?auto=format&fit=crop&q=80&w=400","Dharmapuri Government Medical College Hospital, Dharmapuri, Tamil Nadu","""2026-08-03T13:37:41.050Z""","""2026-08-03T13:37:41.050Z""","0"
